Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Oracle Fusion SCM Functional Lead,Oracle,8.0,25.0,"Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",Bachelor's in Engineering or MBA with 5-10 years in EBS/Cloud implementations; SCM func...,"Fusion Scm, Scm Cloud, MFG, Order To Cash, Planning, OM, Functional, Cloud",3,https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-gandhinagar-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-thiruvananthapuram-8-to-13-years-270723006137
Autosar Security VIP : Mumbai / Bangalore Location : 8 To 12Yrs,Capgemini,8.0,31.0,"Bengaluru, Mumbai (All Areas)",Senior Engineer - AUTOSAR Security VIP : . 1) 10+ Years of experience in Automotive dom...,"BSW configuration, AUTOSAR, Secure Diagnostics, Secure flashing, Automotive domain, C++, HSM, C",1,https://www.naukri.com/job-listings-autosar-security-vip-mumbai-bangalore-location-8-to-12yrs-capgemini-bengaluru-mumbai-all-areas-8-to-12-years-181224011225
"Java Developer - Bangalore, Pune, Hyderabad, Nagpur",Tech Mahindra,5.0,11.0,"Hyderabad, Pune, Bangalore Rural","Skills: Java 1.8, Microservices, Spring bootLocation: BLR, Pune, HYD, NagpurExperience:...","Java 1.8, Springboot, Microservices, Bootstrap, J2Ee, Spring Boot, Java, Development",0,https://www.naukri.com/job-listings-java-developer-bangalore-pune-hyderabad-nagpur-tech-mahindra-hyderabad-pune-bangalore-rural-5-to-10-years-191224009348
Tech Mahindra Hiring Delivery sales/Delivery Business operation,Tech Mahindra,3.0,13.0,"Hyderabad, Pune, Bengaluru",Preferred candidate profile . .,"Delivery Sales Operations Management, Collate and compile delivery operational metrics, Operational Efficiency, Forecasting and Planning, Data Analysis and Reporting, Team Support and Training, working closely with BU heads, Performance Monitoring",1,https://www.naukri.com/job-listings-tech-mahindra-hiring-delivery-sales-delivery-business-operation-tech-mahindra-hyderabad-pune-bengaluru-3-to-8-years-181224017426
AX/D365 SCM (Supply Chain Management) Functional Consultant,Wipro,8.0,27.0,"Pune, Bengaluru, Delhi / NCR","AX Certification is a plusGood experience in requirement gathering, workshop, presentat...","D365, Supply Chain Management, SCM, Dynamics 365 Finance & Operations, Microsoft Dynamics, Shipping, Warehouse Management, Logistics",1,https://www.naukri.com/job-listings-ax-d365-scm-supply-chain-management-functional-consultant-wipro-pune-bengaluru-delhi-ncr-8-to-13-years-181224015727
Senior Software Engineer - Middleware :middleware development,Capgemini,5.0,15.0,"Pune, Bengaluru","Working experience in middleware development and Prior experience in Qualcomm SOC, Expe...","C/C++, Linux System Programming, Embedded Development, Automotive, System Programming, GIT, Linux, Gerrit",1,https://www.naukri.com/job-listings-senior-software-engineer-middleware-middleware-development-capgemini-pune-bengaluru-5-to-7-years-181224011389
BSP Developer : 9to 12Years in Pune / Bangalore,Capgemini,9.0,24.0,"Pune, Bengaluru","Experience working with different embedded microprocessor based on Qualcomm, TI, NXP, N...","BSP Firmware Engineer, Linux Kernel Programming, iMX chipset, Qualcomm Chipset, Linux Device Drivers, Embedded C++, BSP Developer, Embedded C",1,https://www.naukri.com/job-listings-bsp-developer-9to-12years-in-pune-bangalore-capgemini-pune-bengaluru-9-to-12-years-181224011073
"Audio Technical Lead Engineer : 13+Years in Bangalore, Pune",Capgemini,13.0,52.0,"Pune, Bengaluru",JD: Technical Lead Engineer Audio : Bangalore/ Pune 13+ years of experience in Embedd...,"Audio, IVI, Embedded SW development, Embedded C/C++, Audio framework, routing, Automotive Embedded Systems, TDM configuration",1,https://www.naukri.com/job-listings-audio-technical-lead-engineer-13-years-in-bangalore-pune-capgemini-pune-bengaluru-13-to-18-years-181224010734
Technical Lead - Fullstack .Net - Oracle CLoud Infrastructure,Citiustech,5.0,14.0,"Pune, Chennai, Mumbai (All Areas)","5-7 years experience in FullStack .NET with strong skills in C#, .NET Core, and Oracle ...","C#, oracle cloud infrastructure, Fullstack.Net, Web api, Oracle Cloud, .net core, SQL, Technical",16,https://www.naukri.com/job-listings-technical-lead-fullstack-net-oracle-cloud-infrastructure-citiustech-pune-chennai-mumbai-all-areas-5-to-8-years-031224008549
Job Opportunity in Dmart For Store Manager- Operations Role,DMart,7.0,16.0,"Pune, Ahmedabad, Mumbai (All Areas)",• Day to Day Smooth Store Operations• Timely Opening of Store & Adherence to all the pr...,"Manpower Management, Store Operations, Inventory Management, Customer Handling, Floor Management, Wastage Control, Management, Store management",1,https://www.naukri.com/job-listings-opportunity-in-dmart-for-store-manager-operations-role-dmart-pune-ahmedabad-mumbai-all-areas-7-to-12-years-181224016979
Manager/ Asst Manager- Mechanical Design,Wipro PARI,8.0,11.0,"Hyderabad, Pune, Bengaluru",*Candidates from Automation / Heavy Machinery background would only be preferredThe can...,"SPM, Power Train, Gantry, Material Handling Equipments, Conveyor Design, Assembly Line, Design, Mechanical",3,https://www.naukri.com/job-listings-manager-asst-manager-mechanical-design-wipro-pari-hyderabad-pune-bengaluru-8-to-13-years-161224010445
Oracle Fusion WMS Sr Consultant,Oracle,3.0,16.0,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,"Fusion Scm, Scm Cloud, WMS, Fusion, Consulting, Oracle Fusion, Cloud, SR",3,https://www.naukri.com/job-listings-oracle-fusion-wms-sr-consultant-oracle-hyderabad-secunderabad-pune-bangalore-bengaluru-3-to-8-years-270824003604
Bilingual - QA/Java/SDLC understanding / 3+ Yrs/ N3 Certification,Tech Mahindra,3.0,4.0,"Hyderabad, Chennai, Bengaluru","N3 certification is Mandatory( in Japanese Language). . Location- Hyderabad, Chennai, B...","QA, N3 Certified, java, .net, SDLC Testing, Quality assurance, Certified, Software testing",2,https://www.naukri.com/job-listings-bilingual-qa-java-sdlc-understanding-3-yrs-n3-certification-tech-mahindra-hyderabad-chennai-bengaluru-3-to-7-years-171224018659
Job Opening For Manager Engineering - Bangalore Location,Schneider Electric,7.0,11.0,"Bangalore Rural, Bengaluru",We are hiring for Manager Engineering at Bangalore Location Position Overview:We are se...,"DevOps, System Design, Software Engineering, Industrial communication protocol, Management, Communication skills, Design, Engineering",0,https://www.naukri.com/job-listings-opening-for-manager-engineering-bangalore-location-schneider-electric-bangalore-rural-bengaluru-7-to-12-years-191224018392
Tech Mahindra Hiring 2 Wheeler EE Architect For Bangalore,Tech Mahindra,15.0,45.0,Bengaluru,"Minimum of 10-15 years in E / E system architecture and integration, with a demonstrabl...","Electric Vehicles, sizing, selection and integration, Automotive Electronics, vehicular E/E architectures, component modelling, Integration, Architecture",0,https://www.naukri.com/job-listings-tech-mahindra-hiring-2-wheeler-ee-architect-for-bangalore-tech-mahindra-bengaluru-15-to-24-years-191224018152
Electrical Design Engineer,Quest Global,3.0,7.0,Bengaluru(Devarabeesana Halli),Bachelor/Master in EEE/EE/E&I with 3-7 years of design experience in MV/LV systems|Prep...,"Equipment Layout, Equipment Installation, Cable Sizing, Voltage Drop, Cable Tray, Short Circuit, Electrical Design, Electrical engineering",1,https://www.naukri.com/job-listings-electrical-design-engineer-quest-global-bengaluru-3-to-7-years-181224010432
Civil Site Engineer - Bangalore,Lodha Group,3.0,5.0,Bengaluru,Hiring eligibility: . BE / BTech/Diploma in civil engineering (Full time) with 3+ years...,"Civil Engineering, High Rise Building, Civil Construction, Site Supervision, Site Execution, Site Engineering, Civil Works, Site Planning",2,https://www.naukri.com/job-listings-civil-site-engineer-bangalore-lodha-group-bengaluru-3-to-8-years-171224909631
Aix Administrator.,Infosys,9.0,6.0,"Pune, Chennai, Mumbai (All Areas)",Develop performance improvement initiatives for AIX system environment. Identify and re...,"Aix, Aix Administration, HP-Unix, Unix Administration, Aix Operating Systems, System, Unix, Operating systems",3,https://www.naukri.com/job-listings-aix-administrator-infosys-pune-chennai-mumbai-all-areas-9-to-13-years-161224012416
Looking For QA Automation with RPA UI path,Tech Mahindra,7.0,11.0,"Hyderabad, Pune, Bengaluru",Should have working experience in 7-9 years (Leading the team along with to do the QA t...,"Rpa, Automation Testing, UI path, Selenium, Software testing, QA automation, Quality assurance, Automation",7,https://www.naukri.com/job-listings-looking-for-qa-automation-with-rpa-ui-path-tech-mahindra-hyderabad-pune-bengaluru-7-to-10-years-211124005401
.net core with Azure - Bangalore,Tech Mahindra,7.0,11.0,"Hyderabad, Pune, Bangalore Rural",Experience required: 4 to 10 yrs Required skills : .NET6 or .NET 8 +Azure,"C#, Azure, .NET framework, .NET core, .NET framework Windows services, .NET core worker services, Framework, Core",10,https://www.naukri.com/job-listings-net-core-with-azure-bangalore-tech-mahindra-hyderabad-pune-bangalore-rural-7-to-11-years-081124007239
"Tech Mahindra Hiring in EV ( Power Electronics)-Pune ,Bangalore",Tech Mahindra,10.0,37.0,"Pune, Bengaluru","Experience in SMPS / Switched mode power supply designs, Gate Driver Design and IGBT se...","Power electronics, Automotive, LIN, SMPS or Switched mode power supply designs, Gate Driver Design, DOORS, SABER and eADM, Analyzer",13,https://www.naukri.com/job-listings-tech-mahindra-hiring-in-ev-power-electronics-pune-bangalore-tech-mahindra-pune-bengaluru-10-to-15-years-061224014965
Tech Mahindra Hiring EE Architecture- Bangalore & Pune,Tech Mahindra,10.0,37.0,"Pune, Bengaluru","Bachelors in Computer Engineering, Computer Science, or Electrical EngineeringPreferred...","CAN, system topologies, components, interfaces, CANalyzer, Time Sensitive Networking -TSN, CANoe, Automotive Ethernet based communication protocols",13,https://www.naukri.com/job-listings-tech-mahindra-hiring-ee-architecture-bangalore-pune-tech-mahindra-pune-bengaluru-10-to-17-years-061224010309
Tech Mahindra Hiring SDV Architect -Bangalore &Pune,Tech Mahindra,10.0,37.0,"Pune, Bengaluru","Preferred candidate profile Experience with communication protocols such as CAN, SOME /...","C++, ADAS, Embedded, AWS IoT, Connected car, Service Oriented Architecture, OS QNX, LIN",13,https://www.naukri.com/job-listings-tech-mahindra-hiring-sdv-architect-bangalore-pune-tech-mahindra-pune-bengaluru-10-to-16-years-061224010064
Site E&I Instrumentation Engineer-Fixed Term Contract,THERMAX,3.0,7.0,"Chennai, Bangalore/ Bengaluru, Mumbai (All Areas)","Role & responsibilities: Field Instruments calibration, Supervision & installation of J...","Boiler, Erection, Pre commissioning, Field Instrumentation, SWAS, CEMS, Instrumentation, Field",23,https://www.naukri.com/job-listings-site-e-i-instrumentation-engineer-fixed-term-contract-thermax-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-231023001484
QA QC,Lodha Group,4.0,9.0,"Bengaluru, Mumbai (All Areas)",Candidates should have 60% and above in 10th and 12th/ Diploma Liaison with Contractor...,"Quality, QC, Qa/Qc, Quality Control, Quality assurance, Quality assurance, Control",30,https://www.naukri.com/job-listings-qa-qc-lodha-group-bengaluru-mumbai-all-areas-4-to-9-years-191124017972
ICT Logistics Engineer - Data Center - Mumbai,CBRE,2.0,5.0,Mumbai(Lower Parel),Prepare assets for installation into production including but not limited to the follow...,"ICT logistics, logistics & inventory control, QIC inventory system, Control, ICT, Inventory System, System, Logistics",1,https://www.naukri.com/job-listings-ict-logistics-engineer-data-center-mumbai-cbre-mumbai-2-to-6-years-181224012713
ICT Engineer - Data Center - Mumbai,CBRE,2.0,5.0,Mumbai(Lower Parel),The operational requirements for customer sites are to be a member of the team covering...,"information & communication, ICT, ICT systems, Communication skills, Center, Data, Data center, System",1,https://www.naukri.com/job-listings-ict-engineer-data-center-mumbai-cbre-mumbai-2-to-6-years-181224012378
"MEP- Plumbing, Fire Fighting",Lodha Group,3.0,5.0,"Mumbai, Thane, Mumbai (All Areas)","Detailed engineering knowledge with design, engineering and installation experience in ...","MEP, Plumbing, Mechanical Engineering, Fire Fighting, Fighting, Mechanical, Fire, Engineering",2,https://www.naukri.com/job-listings-mep-plumbing-fire-fighting-lodha-group-mumbai-thane-mumbai-all-areas-3-to-8-years-171224909694
Finishing- Interior Finishing,Lodha Group,3.0,5.0,"Mumbai, Thane, Mumbai (All Areas)","Preferred candidate profile Experience in Clubhouse, entrance lobby and sample flats Ma...","Interior Finishing, Finishing, Bunglows, Villas, Interiors",2,https://www.naukri.com/job-listings-finishing-interior-finishing-lodha-group-mumbai-thane-mumbai-all-areas-3-to-8-years-171224909693
MEP Engineer,Lodha Group,3.0,5.0,"Thane, Navi Mumbai, Mumbai (All Areas)",Role & responsibilities Participate where required in all aspects of the project manage...,"MEP Execution, Plumbing, High Rise Building, Fire Fighting, Electrical Engineering, MEP, Fighting, Execution",2,https://www.naukri.com/job-listings-mep-engineer-lodha-group-thane-navi-mumbai-mumbai-all-areas-3-to-8-years-171224909661
Manager/Dy.Manager/ Associate Manager,Lodha Group,9.0,13.0,"Mumbai(Vikhroli), Thane, Mumbai (All Areas)",Hiring eligibility: . BE / BTech/Diploma in civil engineering (Full time) with 9+ years...,"Civil Engineering, High Rise Building, Civil Construction, Civil Project Management, Township, Site Supervision, Site Execution, Building Construction",2,https://www.naukri.com/job-listings-manager-dy-manager-associate-manager-lodha-group-mumbai-thane-mumbai-all-areas-9-to-14-years-171224909622
